,state,abbreviation,voting_population,age_18_29,age_30_44,age_45_64,age_Over65,male,female,white,african_american,american_indian,asian,pacific,latino,not_latino,college_educated_rate,poverty_rate,hh_income_over100k_rate,gun_ownership_rate,adult_obesity_rate,unemployment_rate,pct_obama_2012,pct_romney_2012,pct_johnson_2012,pct_stein_2012,pct_other_2012,total_votes_2012,ev_dem_2016,ev_rep_2016,total_votes_2016,pct_clinton_2016,pct_trump_2016,pct_johnson_2016,pct_other_2016,poll_clinton_2016,poll_trump_2016,poll_johnson_2016
0,Alabama,AL,3653381,0.20800000000000002,0.239,0.345,0.207,0.475,0.525,0.7090000000000001,0.262,0.004,0.006999999999999999,0.001,0.017,0.983,0.242,0.158,0.174,0.49,0.36,0.06,0.38,0.61,0.01,0.0,0.0,2074338,9,0,"2,113,963",0.3433,0.6218,0.0209,0.013999999999999999,0.36,0.58,0.04
1,Alaska,AK,528248,0.265,0.263,0.341,0.132,0.535,0.465,0.71,0.036000000000000004,0.129,0.04,0.006999999999999999,0.059000000000000004,0.941,0.3,0.085,0.344,0.62,0.3,0.07,0.41,0.55,0.02,0.01,0.01,300495,3,0,"297,397",0.3639,0.5157,0.0585,0.0619,0.41,0.48,0.09
2,Arizona,AZ,4710448,0.21899999999999997,0.233,0.322,0.22699999999999998,0.49200000000000005,0.508,0.8140000000000001,0.044000000000000004,0.045,0.024,0.002,0.22,0.78,0.29,0.134,0.217,0.32,0.28,0.05,0.45,0.54,0.01,0.0,0.0,2299254,11,0,"2,554,240",0.4546,0.4903,0.0416,0.0134,0.45,0.48,0.06
3,Arkansas,AR,2185724,0.209,0.237,0.337,0.217,0.48200000000000004,0.518,0.8059999999999999,0.155,0.006,0.009000000000000001,0.001,0.03,0.97,0.22,0.16,0.15,0.58,0.35,0.04,0.37,0.61,0.02,0.01,0.0,1069468,6,0,"1,126,743",0.3364,0.606,0.0263,0.0313,0.36,0.57,0.05
4,California,CA,25002812,0.23800000000000002,0.24,0.332,0.19,0.49,0.51,0.652,0.069,0.006999999999999999,0.135,0.004,0.28600000000000003,0.7140000000000001,0.348,0.11800000000000001,0.33799999999999997,0.2,0.24,0.06,0.6,0.37,0.01,0.01,0.01,13038547,0,55,"12,046,439",0.6167,0.3267,0.0336,0.0229,0.59,0.36,0.04
5,Colorado,CO,3896986,0.225,0.259,0.33799999999999997,0.17800000000000002,0.49700000000000005,0.503,0.877,0.04,0.01,0.021,0.002,0.147,0.853,0.40700000000000003,0.098,0.302,0.34,0.2,0.04,0.51,0.46,0.01,0.0,0.01,2569520,0,9,"2,765,486",0.4815,0.4327,0.0517,0.034,0.48,0.44,0.08
6,Connecticut,CT,2584884,0.198,0.217,0.374,0.21100000000000002,0.478,0.522,0.816,0.099,0.003,0.027000000000000003,0.0,0.11199999999999999,0.888,0.39,0.086,0.365,0.17,0.25,0.05,0.58,0.41,0.01,0.0,0.0,1558960,0,7,"1,642,330",0.5454,0.4098,0.0296,0.0151,0.53,0.4,0.06
7,Delaware,DE,697148,0.205,0.215,0.354,0.226,0.474,0.526,0.735,0.21,0.003,0.023,0.0,0.051,0.9490000000000001,0.307,0.099,0.26,0.05,0.3,0.04,0.59,0.4,0.01,0.0,0.0,413921,0,3,"441,590",0.5335,0.4192,0.0334,0.0138,0.53,0.4,0.05
8,Florida,FL,14441877,0.191,0.21600000000000003,0.335,0.258,0.48,0.52,0.7909999999999999,0.14800000000000002,0.002,0.021,0.001,0.18600000000000003,0.8140000000000001,0.29100000000000004,0.127,0.204,0.33,0.27,0.05,0.5,0.49,0.01,0.0,0.0,8474179,29,0,"9,478,590",0.4749,0.48700000000000004,0.0218,0.0163,0.48,0.48,0.03
9,Georgia,GA,7168068,0.22399999999999998,0.253,0.345,0.17800000000000002,0.47600000000000003,0.524,0.628,0.316,0.002,0.026000000000000002,0.0,0.044000000000000004,0.956,0.304,0.14,0.221,0.32,0.31,0.05,0.45,0.53,0.01,0.0,0.0,3900050,16,0,"4,092,266",0.4589,0.5105,0.0306,0.0,0.46,0.5,0.05
10,Hawaii,HI,1022704,0.22399999999999998,0.24600000000000002,0.314,0.215,0.514,0.486,0.295,0.024,0.003,0.376,0.084,0.084,0.9159999999999999,0.32299999999999995,0.09,0.35600000000000004,0.45,0.23,0.03,0.71,0.28,0.01,0.01,0.0,434697,0,4,"428,937",0.6222,0.3004,0.0372,0.0402,0.58,0.34,0.06
11,Idaho,ID,1168843,0.214,0.249,0.332,0.205,0.494,0.506,0.937,0.004,0.015,0.01,0.001,0.075,0.925,0.265,0.13699999999999998,0.17800000000000002,0.57,0.29,0.04,0.33,0.65,0.01,0.01,0.01,652274,4,0,"692,216",0.275,0.5927,0.040999999999999995,0.0913,0.36,0.56,0.07
12,Illinois,IL,9017653,0.214,0.242,0.348,0.196,0.48200000000000004,0.518,0.76,0.149,0.002,0.039,0.0,0.10400000000000001,0.8959999999999999,0.33899999999999997,0.111,0.281,0.26,0.31,0.06,0.58,0.41,0.01,0.01,0.0,5242014,0,20,"5,501,040",0.5535,0.3871,0.0375,0.0219,0.54,0.41,0.04
13,Indiana,IN,4856797,0.215,0.239,0.349,0.19699999999999998,0.484,0.516,0.873,0.08800000000000001,0.002,0.01,0.0,0.036000000000000004,0.9640000000000001,0.249,0.12,0.19,0.34,0.31,0.04,0.44,0.54,0.02,0.0,0.0,2624534,11,0,"2,731,568",0.3794,0.5697,0.0491,0.0018,0.4,0.52,0.08
14,Iowa,IA,2310467,0.21,0.231,0.344,0.21600000000000003,0.49,0.51,0.9390000000000001,0.027999999999999997,0.004,0.01,0.001,0.028999999999999998,0.971,0.268,0.10800000000000001,0.207,0.34,0.32,0.04,0.52,0.46,0.01,0.0,0.01,1582180,6,0,"1,564,443",0.4173,0.5117,0.0378,0.0333,0.45,0.48,0.06
15,Kansas,KS,2074102,0.221,0.237,0.33899999999999997,0.203,0.491,0.509,0.882,0.057,0.01,0.017,0.001,0.065,0.935,0.32299999999999995,0.11,0.226,0.32,0.34,0.04,0.38,0.6,0.02,0.0,0.0,1159971,6,0,"1,147,143",0.3616,0.5719,0.0468,0.0198,0.39,0.52,0.08
16,Kentucky,KY,3329835,0.20600000000000002,0.24100000000000002,0.35200000000000004,0.201,0.484,0.516,0.8959999999999999,0.079,0.002,0.008,0.0,0.015,0.985,0.23199999999999998,0.16,0.16699999999999998,0.42,0.35,0.05,0.38,0.6,0.01,0.0,0.0,1797212,8,0,"1,923,346",0.3269,0.6254,0.0279,0.0197,0.38,0.56,0.04
17,Louisiana,LA,3454978,0.223,0.25,0.33899999999999997,0.188,0.48,0.52,0.65,0.314,0.005,0.012,0.0,0.03,0.97,0.233,0.166,0.19699999999999998,0.45,0.36,0.06,0.41,0.58,0.01,0.0,0.0,1994065,8,0,"2,029,032",0.3845,0.5809,0.0187,0.0159,0.39,0.56,0.03
18,Maine,ME,1056410,0.175,0.21100000000000002,0.38,0.23399999999999999,0.484,0.516,0.9620000000000001,0.006999999999999999,0.006,0.006999999999999999,0.0,0.011000000000000001,0.9890000000000001,0.301,0.12300000000000001,0.18899999999999997,0.23,0.3,0.04,0.56,0.41,0.01,0.01,0.0,713180,1,3,"736,660",0.4785,0.4515,0.051,0.019,0.5,0.42,0.07
19,Maryland,MD,4239987,0.209,0.23600000000000002,0.363,0.192,0.474,0.526,0.612,0.298,0.003,0.05,0.0,0.046,0.9540000000000001,0.39399999999999996,0.08199999999999999,0.38,0.21,0.29,0.04,0.62,0.36,0.01,0.01,0.0,2707327,0,10,"2,679,143",0.5977,0.3452,0.0285,0.0286,0.6,0.34,0.04
20,Massachusetts,MA,4924459,0.214,0.225,0.35700000000000004,0.204,0.47600000000000003,0.524,0.847,0.062,0.001,0.043,0.0,0.079,0.9209999999999999,0.419,0.09699999999999999,0.363,0.23,0.24,0.03,0.61,0.38,0.01,0.01,0.0,3167767,0,11,"3,231,531",0.608,0.3352,0.0423,0.0145,0.58,0.35,0.06
