state,gun_ownership_rate
Alabama,0.49
Alaska,0.62
Arizona,0.32
Arkansas,0.58
California,0.20
Colorado,0.34
Connecticut,0.17
Delaware,0.05
DistrictofColumbia,0.26
Florida,0.33
Georgia,0.32
Hawaii,0.45
Idaho,0.57
Illinois,0.26
Indiana,0.34
Iowa,0.34
Kansas,0.32
Kentucky,0.42
Louisiana,0.45
Maine,0.23
Maryland,0.21
Massachusetts,0.23
Michigan,0.29
Minnesota,0.37
Mississippi,0.43
Missouri,0.27
Montana,0.52
Nebraska,0.20
Nevada,0.38
NewHampshire,0.14
NewJersey,0.11
NewMexico,0.50
NewYork,0.10
NorthCarolina,0.29
NorthDakota,0.48
Ohio,0.20
Oklahoma,0.31
Oregon,0.27
Pennsylvania,0.27
RhodeIsland,0.06
SouthCarolina,0.44
SouthDakota,0.35
Tennessee,0.39
Texas,0.36
Utah,0.32
Vermont,0.29
Virginia,0.29
Washington,0.28
WestVirginia,0.54
Wisconsin,0.35
Wyoming,0.54
