state,voting_population,age_18_29,age_30_44,age_45_64,age_Over65,male,female,white,african_american,american_indian,asian,pacific,latino,not_latino,college_educated_rate,poverty_rate,hh_income_over100k_rate
Alabama,3653381,0.208,0.239,0.345,0.207,0.475,0.525,0.709,0.262,0.004,0.007,0.001,0.017,0.983,0.242,0.158,0.174
Alaska,528248,0.265,0.263,0.341,0.132,0.535,0.465,0.71,0.036,0.129,0.04,0.007,0.059,0.941,0.3,0.085,0.344
Arizona,4710448,0.219,0.233,0.322,0.227,0.492,0.508,0.814,0.044,0.045,0.024,0.002,0.22,0.78,0.29,0.134,0.217
Arkansas,2185724,0.209,0.237,0.337,0.217,0.482,0.518,0.806,0.155,0.006,0.009,0.001,0.03,0.97,0.22,0.16,0.15
California,25002812,0.238,0.24,0.332,0.19,0.49,0.51,0.652,0.069,0.007,0.135,0.004,0.286,0.714,0.348,0.118,0.338
Colorado,3896986,0.225,0.259,0.338,0.178,0.497,0.503,0.877,0.04,0.01,0.021,0.002,0.147,0.853,0.407,0.098,0.302
Connecticut,2584884,0.198,0.217,0.374,0.211,0.478,0.522,0.816,0.099,0.003,0.027,0,0.112,0.888,0.39,0.086,0.365
Delaware,697148,0.205,0.215,0.354,0.226,0.474,0.526,0.735,0.21,0.003,0.023,0,0.051,0.949,0.307,0.099,0.26
DistrictofColumbia,504242,0.29,0.297,0.265,0.148,0.466,0.534,0.431,0.481,0.003,0.032,0.001,0.068,0.932,0.569,0.153,0.395
Florida,14441877,0.191,0.216,0.335,0.258,0.48,0.52,0.791,0.148,0.002,0.021,0.001,0.186,0.814,0.291,0.127,0.204
Georgia,7168068,0.224,0.253,0.345,0.178,0.476,0.524,0.628,0.316,0.002,0.026,0,0.044,0.956,0.304,0.14,0.221
Hawaii,1022704,0.224,0.246,0.314,0.215,0.514,0.486,0.295,0.024,0.003,0.376,0.084,0.084,0.916,0.323,0.09,0.356
Idaho,1168843,0.214,0.249,0.332,0.205,0.494,0.506,0.937,0.004,0.015,0.01,0.001,0.075,0.925,0.265,0.137,0.178
Illinois,9017653,0.214,0.242,0.348,0.196,0.482,0.518,0.76,0.149,0.002,0.039,0,0.104,0.896,0.339,0.111,0.281
Indiana,4856797,0.215,0.239,0.349,0.197,0.484,0.516,0.873,0.088,0.002,0.01,0,0.036,0.964,0.249,0.12,0.19
Iowa,2310467,0.21,0.231,0.344,0.216,0.49,0.51,0.939,0.028,0.004,0.01,0.001,0.029,0.971,0.268,0.108,0.207
Kansas,2074102,0.221,0.237,0.339,0.203,0.491,0.509,0.882,0.057,0.01,0.017,0.001,0.065,0.935,0.323,0.11,0.226
Kentucky,3329835,0.206,0.241,0.352,0.201,0.484,0.516,0.896,0.079,0.002,0.008,0,0.015,0.985,0.232,0.16,0.167
Louisiana,3454978,0.223,0.25,0.339,0.188,0.48,0.52,0.65,0.314,0.005,0.012,0,0.03,0.97,0.233,0.166,0.197
Maine,1056410,0.175,0.211,0.38,0.234,0.484,0.516,0.962,0.007,0.006,0.007,0,0.011,0.989,0.301,0.123,0.189
Maryland,4239987,0.209,0.236,0.363,0.192,0.474,0.526,0.612,0.298,0.003,0.05,0,0.046,0.954,0.394,0.082,0.38
Massachusetts,4924459,0.214,0.225,0.357,0.204,0.476,0.524,0.847,0.062,0.001,0.043,0,0.079,0.921,0.419,0.097,0.363
Michigan,7436478,0.207,0.223,0.362,0.208,0.485,0.515,0.816,0.136,0.005,0.018,0,0.032,0.968,0.274,0.135,0.204
Minnesota,4007159,0.201,0.243,0.358,0.199,0.491,0.509,0.892,0.043,0.009,0.031,0,0.025,0.975,0.349,0.087,0.283
Mississippi,2220616,0.221,0.247,0.334,0.198,0.475,0.525,0.613,0.365,0.004,0.007,0,0.015,0.985,0.208,0.189,0.14
Missouri,4567771,0.208,0.237,0.349,0.207,0.483,0.517,0.851,0.111,0.005,0.011,0.001,0.023,0.977,0.277,0.128,0.197
Montana,797198,0.202,0.227,0.348,0.223,0.5,0.5,0.91,0.004,0.055,0.007,0,0.026,0.974,0.306,0.132,0.182
Nebraska,1352947,0.215,0.245,0.335,0.204,0.491,0.509,0.917,0.043,0.008,0.011,0.001,0.056,0.944,0.307,0.103,0.227
Nevada,1942764,0.212,0.245,0.338,0.205,0.5,0.5,0.722,0.09,0.012,0.076,0.007,0.178,0.822,0.252,0.117,0.216
NewHampshire,1035684,0.194,0.213,0.385,0.208,0.488,0.512,0.957,0.012,0.001,0.014,0,0.023,0.977,0.353,0.074,0.325
NewJersey,6154126,0.195,0.228,0.37,0.207,0.478,0.522,0.727,0.137,0.002,0.07,0,0.142,0.858,0.382,0.084,0.376
NewMexico,1470045,0.22,0.23,0.333,0.217,0.49,0.51,0.757,0.023,0.093,0.01,0.001,0.415,0.585,0.278,0.167,0.185
NewYork,13704991,0.22,0.231,0.345,0.204,0.476,0.524,0.699,0.151,0.004,0.064,0,0.141,0.859,0.364,0.124,0.306
NorthCarolina,7296335,0.211,0.236,0.347,0.205,0.477,0.523,0.724,0.221,0.012,0.017,0,0.036,0.964,0.299,0.136,0.195
NorthDakota,571119,0.258,0.238,0.318,0.186,0.512,0.488,0.909,0.015,0.042,0.007,0.001,0.027,0.973,0.29,0.105,0.27
Ohio,8765154,0.204,0.232,0.357,0.208,0.482,0.518,0.848,0.116,0.002,0.011,0,0.024,0.976,0.264,0.126,0.205
Oklahoma,2807548,0.22,0.245,0.332,0.203,0.487,0.513,0.767,0.074,0.071,0.013,0.001,0.051,0.949,0.251,0.136,0.187
Oregon,2956232,0.197,0.241,0.342,0.219,0.489,0.511,0.888,0.018,0.012,0.03,0.003,0.067,0.933,0.328,0.134,0.228
Pennsylvania,9752322,0.202,0.221,0.356,0.221,0.482,0.518,0.846,0.103,0.002,0.021,0,0.047,0.953,0.294,0.111,0.239
RhodeIsland,784997,0.219,0.217,0.351,0.212,0.472,0.528,0.863,0.051,0.003,0.022,0,0.095,0.905,0.336,0.118,0.277
SouthCarolina,3677799,0.212,0.231,0.343,0.213,0.477,0.523,0.697,0.271,0.003,0.009,0,0.026,0.974,0.27,0.141,0.177
SouthDakota,634140,0.216,0.233,0.339,0.212,0.497,0.503,0.886,0.008,0.071,0.007,0.001,0.023,0.977,0.276,0.122,0.191
Tennessee,4919574,0.208,0.239,0.348,0.205,0.478,0.522,0.805,0.165,0.003,0.01,0,0.02,0.98,0.259,0.141,0.183
Texas,17523904,0.238,0.261,0.329,0.173,0.487,0.513,0.77,0.133,0.005,0.036,0.001,0.286,0.714,0.301,0.116,0.264
Utah,1945001,0.268,0.291,0.286,0.155,0.499,0.501,0.912,0.01,0.012,0.017,0.007,0.08,0.92,0.328,0.097,0.265
Vermont,494717,0.198,0.208,0.374,0.22,0.488,0.512,0.962,0.008,0.004,0.009,0.001,0.013,0.987,0.369,0.092,0.231
Virginia,6062304,0.217,0.243,0.348,0.191,0.486,0.514,0.72,0.195,0.002,0.047,0.001,0.051,0.949,0.372,0.097,0.321
Washington,5081800,0.212,0.245,0.346,0.197,0.495,0.505,0.825,0.036,0.013,0.062,0.005,0.067,0.933,0.344,0.106,0.294
WestVirginia,1451557,0.186,0.229,0.354,0.231,0.489,0.511,0.943,0.037,0.001,0.005,0,0.01,0.99,0.193,0.159,0.143
Wisconsin,4340567,0.202,0.231,0.361,0.206,0.491,0.509,0.895,0.056,0.009,0.018,0,0.037,0.963,0.285,0.105,0.216
Wyoming,434584,0.215,0.252,0.343,0.19,0.505,0.495,0.94,0.006,0.021,0.006,0.001,0.068,0.932,0.265,0.102,0.257
