state,unemployment_rate
NewHampshire,0.03
SouthDakota,0.03
NorthDakota,0.03
Hawaii,0.03
Utah,0.03
Massachusetts,0.03
Nebraska,0.03
Vermont,0.03
Colorado,0.04
Idaho,0.04
Arkansas,0.04
Maine,0.04
Minnesota,0.04
Iowa,0.04
Wisconsin,0.04
Maryland,0.04
Virginia,0.04
Delaware,0.04
Montana,0.04
Indiana,0.04
Kansas,0.04
Michigan,0.05
SouthCarolina,0.05
Texas,0.05
Florida,0.05
Tennessee,0.05
NorthCarolina,0.05
Ohio,0.05
Connecticut,0.05
Kentucky,0.05
Missouri,0.05
Wyoming,0.05
Arizona,0.05
Georgia,0.05
NewJersey,0.05
NewYork,0.05
Oklahoma,0.05
Oregon,0.05
Washington,0.05
California,0.06
Nevada,0.06
RhodeIsland,0.06
Illinois,0.06
Alabama,0.06
Pennsylvania,0.06
Mississippi,0.06
WestVirginia,0.06
DistrictofColumbia,0.06
Louisiana,0.06
NewMexico,0.07
Alaska,0.07
